CtNumero;NU_ProcessoLicitacao;CtVigenciaInicio;CtVigenciaTermino2;Tempo;OrNome;Credor;ObNome;CtValorTotal;Textbox7;CtValorTotal1
0052/2023;38.000.000345.2023;30/08/2023;28/11/2023;3;PC - 38.0001;23.106.657/0001-33 - IMPERIO SOLUCOES ADMINISTRATIVAS E PUBLICAS LTDA;EQUIPAMENTOS E SOFTWARES DE INFORMÁTICA;25.960,64;7.452 CONTRATOS;14.786.237.936,49
0053/2023;38.000.000345.2023;30/08/2023;28/11/2023;3;PC - 38.0001;16.501.916/0001-65 - ELETROPECAS TI COMERCIAL LTDA;EQUIPAMENTOS E SOFTWARES DE INFORMÁTICA;11.745,00;7.452 CONTRATOS;14.786.237.936,49
0096/2023;30.000.000709.2023;30/08/2023;29/08/2024;12;SEAD - 19.0001;067.130.294-93 - FRANCISCO CÉLIO FERNANDES;LOCAÇÃO DE BENS IMÓVEIS;18.720,00;7.452 CONTRATOS;14.786.237.936,49
0159/2023;25.510.016114.2022;31/08/2023;31/12/2023;4;FPGS 25.5101;08.675.394/0001-90 - SAFE SUPORTE A VIDA E COMERCIO INTERNACIONAL LTDA;MATERIAL DA ÁREA DE SAÚDE;7.680,00;7.452 CONTRATOS;14.786.237.936,49
0203/2023;25.215.000067.2022;01/09/2023;31/12/2023;3;HEETSHL - 25.1501;07.227.808/0001-55 - BJ COMERCIO DE ALIMENTOS LTDA;GÊNEROS ALIMENTÍCIOS;2.567,52;7.452 CONTRATOS;14.786.237.936,49
0220/2023;;31/08/2023;29/10/2023;2;SEE - 22.0001;01.612.690/0001-00 - PREFEITURA DE SÃO BENTINHO;DOAÇÕES;;7.452 CONTRATOS;14.786.237.936,49
0222/2023;;30/08/2023;28/11/2023;3;SEE - 22.0001;08.742.264/0001-22 - PREFEITURA  MUNICIPAL DE QUEIMADAS;DOAÇÕES;;7.452 CONTRATOS;14.786.237.936,49
0223/2023;;31/08/2023;29/11/2023;3;SEE - 22.0001;08.943.268/0001-79 - PREFEITURA MUNICIPAL DE IBIARA;DOAÇÕES;;7.452 CONTRATOS;14.786.237.936,49
0243/2023;25.215.000056.2023;31/08/2023;31/12/2023;4;HEETSHL - 25.1501;40.982.787/0001-59 - NEW SERVICE - COMERCIO E SERVICOS DE EQUIPAMENTO MEDICOS HOSPITALAR LTDA ;MATERIAL MÉDICO-HOSPITALAR;32.640,00;7.452 CONTRATOS;14.786.237.936,49
0244/2023;27.000.005263.2021;01/09/2023;01/12/2023;3;FEAS - 50.0001;15.724.019/0001-58 - QUALITY ATACADO EIRELI;MATERIAL DE EXPEDIENTE;20.299,00;7.452 CONTRATOS;14.786.237.936,49
0244/2023;25.215.000056.2023;31/08/2023;31/12/2023;4;HEETSHL - 25.1501;11.207.092/0001-00 - S. G. P. SOARES & CIA LTDA ;MATERIAL MÉDICO-HOSPITALAR;213.900,00;7.452 CONTRATOS;14.786.237.936,49
0376/2023;19.000.000018.2023;30/08/2023;31/12/2023;4;SES - 25.0001;10.782.385/0001-40 - GB COMERCIO E DISTRIBUIÇÃO LTDA;MATERIAL DA ÁREA DE SAÚDE;79.151,80;7.452 CONTRATOS;14.786.237.936,49
0377/2023;25.000.000098.2023;30/08/2023;30/08/2024;12;SES - 25.0001;05.487.858/0001-46 - STROPP OFTALMOLOGICA LTDA;SERVIÇOS;1.285.485,60;7.452 CONTRATOS;14.786.237.936,49
044//2023;31.203.000054.2023;30/08/2023;30/11/2023;3;DOCAS - 31.0301;12.763.423/0001-42 - REI DA FEIRA LIMPEZA E HIGIENE PESSOAL LTDA;GÊNEROS ALIMENTÍCIOS;734.240,00;7.452 CONTRATOS;14.786.237.936,49
1010/2021;;31/08/2023;30/08/2025;24;CEHAP - 31.0401;09.323.098/0001-92 - CONSTRUTORA ROCHA CAVALCANTE LTDA;CONSTRUÇÃO DE IMÓVEIS;14.784.000,00;7.452 CONTRATOS;14.786.237.936,49
0009/2023;25.233.000039.2023;28/08/2023;31/12/2023;4;HFAF - 25.1024;38.308.355/0001-15 - HERBERT SCHAFER FILHO;MATERIAL DE EXPEDIENTE;31.315,30;7.452 CONTRATOS;14.786.237.936,49
0010/2023;25.233.000101.2023;29/08/2023;31/12/2023;4;HFAF - 25.1024;05.765.913/0001-12 - VENDE TUDO MAGAZINE LTDA;MATERIAL DE CONSUMO;33.095,00;7.452 CONTRATOS;14.786.237.936,49
0016/2023;25.250.000584.2023;29/08/2023;29/08/2024;12;IASS - 25.5001;08.542.800/0001-46 - FL INFORMATICA LTDA;SERVIÇO ESPECIALIZADO NA ÁREA DE INFORMÁTICA;50.340,00;7.452 CONTRATOS;14.786.237.936,49
0034/2023;31.201.001119.2023;29/08/2023;12/09/2026;37;DER - 31.0101;06.204.246/0001-61 - ECAM TERRAPLENAGEM E PAVIMENTAÇÃO LTDA.;OBRAS;35.781.624,51;7.452 CONTRATOS;14.786.237.936,49
0042/2023;31.202.001215.2023;28/08/2023;28/08/2024;12;SUPLAN - 31.0201;09.452.853/0001-39 - DIMENOC SOLUÇÕES DE INFOMÁTICA LTDA(HOSTDIME);SERVIÇOS;13.780,00;7.452 CONTRATOS;14.786.237.936,49
0045/2023;19.000.042330.2020;28/08/2023;31/12/2023;4;SEAP - 24.0001;43.905.981/0001-29 - GNBTECH SUPPLY TECNOLOGIA LTDA;MATERIAL PERMANENTE;4.970,00;7.452 CONTRATOS;14.786.237.936,49
0046/2023;19.000.018103.2022;29/08/2023;31/12/2023;4;SEAP - 24.0001;33.497.491/0001-87 - OYSTER COMÉRCIO DE EQUIPAMENTOS LTDA;MÁQUINAS E EQUIPAMENTOS;34.190,00;7.452 CONTRATOS;14.786.237.936,49
0058/2023;25.206.000395.2023;29/08/2023;31/12/2023;4;CPAM - 25.0601;11.715.833/0001-55 - LTSUL COMÉRCIO E SERVIÇO EIRELI;MATERIAL DE CONSUMO;231.230,10;7.452 CONTRATOS;14.786.237.936,49
0059/2023;25.206.000384.2023;29/08/2023;29/11/2023;3;CPAM - 25.0601;04.654.716/0001-63 - COMERCIAL MEDEIROS LTDA;AQUISIÇÃO DE TECIDOS;76.070,00;7.452 CONTRATOS;14.786.237.936,49
0060/2023;25.206.000384.2023;29/08/2023;29/11/2023;3;CPAM - 25.0601;34.387.726/0001-40 - SMART COMÉRCIO LTDA;AQUISIÇÃO DE TECIDOS;89.245,00;7.452 CONTRATOS;14.786.237.936,49
0076/2023;19.000.023802.2022;29/08/2023;29/08/2024;12;SUDEMA - 34.0101;27.595.780/0001-16 - CS BRASIL FROTAS S.A;LOCAÇÃO DE VEÍCULOS;1.165.143,60;7.452 CONTRATOS;14.786.237.936,49
0089/2023;26.201.025384.2023;29/08/2023;29/11/2023;3;DETRAN - 26.0101;12.622.988/0001-00 - GRUPO CENTRUM CAPACITAÇÃO E EVENTOS LTDA;OUTROS SERVIÇOS ESPECIALIZADOS;163.200,00;7.452 CONTRATOS;14.786.237.936,49
0152/2023;31.206.020244.2023;29/08/2023;26/01/2024;5;CAGEPA - 31.0601;07.240.775/0001-83 - LGV VALVULAS E EQUIPAMENTOS INDUSTRIAIS LTDA;OUTRAS MÁQUINAS, MOTORES E EQUIPAMENTOS;149.970,00;7.452 CONTRATOS;14.786.237.936,49
0229/2023;25.215.000170.2022;29/08/2023;31/12/2023;4;HEETSHL - 25.1501;22.958.146/0001-87 - MEDHOSTER COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES LTDA;MATERIAL MÉDICO-HOSPITALAR;164.178,00;7.452 CONTRATOS;14.786.237.936,49
0231/2023;25.215.000170.2022;29/08/2023;31/12/2023;4;HEETSHL - 25.1501;04.922.653/0001-89 - NORDESTE HOSPITALAR IMPORTACAO E EXPORTACAO LTDA;MATERIAL MÉDICO-HOSPITALAR;101.180,00;7.452 CONTRATOS;14.786.237.936,49
0232/2023;25.215.000170.2022;29/08/2023;31/12/2023;4;HEETSHL - 25.1501;54.565.478/0001-98 - SISPACK MEDICAL LTDA;MATERIAL MÉDICO-HOSPITALAR;5.106,00;7.452 CONTRATOS;14.786.237.936,49
0237/2023;25.215.000119.2023;29/08/2023;31/12/2023;4;HEETSHL - 25.1501;44.734.671/0001-51 - CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA;MEDICAMENTOS;1.274,50;7.452 CONTRATOS;14.786.237.936,49
0353/2023;19.000.007698.2021;29/08/2023;29/08/2024;12;SEDH - 27.0001;03.313.938/0001-50 - RECOL ENGENHARIA E SERVIÇOS LTDA;MATERIAL DE EXPEDIENTE;75.912,00;7.452 CONTRATOS;14.786.237.936,49
0373/2023;25.000.002784.2023 ;29/08/2023;29/08/2025;24;SES - 25.0001;09.366.790/0001-06 - EMPRESA PARAIBANA DE COMUNICAÇÃO S.A. - EPC;SERVIÇO ESPECIALIZADO NA ÁREA DE COMUNICAÇÃO;1.640.625,00;7.452 CONTRATOS;14.786.237.936,49
0392/2023;19.000.007698.2021;29/08/2023;29/08/2024;12;FETPB-90.0001;03.313.938/0001-50 - RECOL ENGENHARIA E SERVIÇOS LTDA;SERVIÇOS;47.688,00;7.452 CONTRATOS;14.786.237.936,49
0010/2023;19.000.021688.2022;25/08/2023;27/11/2023;3;SECTIES - 35.0001;20.873.342/0001-23 - HC COMERCIO DE PAPELARIA E SERVICOS LTDA;MATERIAL DE EXPEDIENTE;1.821,55;7.452 CONTRATOS;14.786.237.936,49
0029/2023;32.901.900050.2023;25/08/2023;25/11/2023;3;SEDAP - 32.0001;04.203.988/0001-47 - JSL LOCAÇÕES E MONTAGENS EIRELI;LOCAÇÃO DE BENS MÓVEIS;40.000,00;7.452 CONTRATOS;14.786.237.936,49
0031/2023;25.240.000201.2023;25/08/2023;31/12/2023;4;HCCG - 25.4201;08.713.023/0001-55 - ENDOSURGICAL COMÉRCIO REP. IMP. E EXP. DE MAT. E EQUIP MEDICOS E ODONTOLOGICOS;OUTROS MATERIAIS DA ÁREA DE SAÚDE;1.295.996,00;7.452 CONTRATOS;14.786.237.936,49
0033/2023;25.240.000168.2023;25/08/2023;31/12/2023;4;HCCG - 25.4201;06.948.769/0001-12 - TECNOCENTER MATERIAIS MEDICO HOSPITALARES LTDA;OUTROS MATERIAIS DA ÁREA DE SAÚDE;65.178,60;7.452 CONTRATOS;14.786.237.936,49
0034/2023;25.240.000168.2023;25/08/2023;31/12/2023;4;HCCG - 25.4201;41.585.673/0001-38 - ENTERAL MÉDICA COMÉRCIO DE PRODUTOS NUTRICIONAIS E HOSPITALARES LTDA;OUTROS MATERIAIS DA ÁREA DE SAÚDE;200.624,50;7.452 CONTRATOS;14.786.237.936,49
0057/2023;19.000.000058.2023;26/08/2023;26/11/2023;3;CPAM - 25.0601;48.975.836/0001-38 - WR COMÉRCIO DE PAPÉIS LTDA;MATERIAL DE EXPEDIENTE;29.315,00;7.452 CONTRATOS;14.786.237.936,49
0060/2023;;28/08/2023;31/12/2023;4;PM/PB - 15.0001;04.602.789/0001-01 - DATEN TECNOLOGIA LTDA;AQUISIÇÃO DE BENS MÓVEIS;615.670,00;7.452 CONTRATOS;14.786.237.936,49
0065/2023;;28/08/2023;31/12/2023;4;SEDS - 26.0001;03.928.511/0001-66 - SOS SUL COMÉRCIO E SERVIÇOS DE SEGURANÇA E SINALIZAÇÃO LTDA;EQUIPAMENTOS;1.557.500,00;7.452 CONTRATOS;14.786.237.936,49
0072/2023;25237.0000332023;28/08/2023;24/02/2024;6;MPF- 25.1101;05.329.135/0003-80 - ALEXANDRO SANTIS DA SILVA - EPP;LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS;110.880,00;7.452 CONTRATOS;14.786.237.936,49
0078/2023;;28/08/2023;28/08/2024;12;SUDEMA - 34.0101;124.595.614-07 - MATHEUS HOLLANDA TAVARES CAVALCANTE;CESSÃO DE ESTÁGIO CURRICULAR;8.136,00;7.452 CONTRATOS;14.786.237.936,49
0126/2023;25.510.031072.2023;26/08/2023;31/12/2023;4;FPGS 25.5101;22.006.201/0001-39 - FORTPEL COMERCIO DE DESCARTAVEISLTDA;MATERIAL DA ÁREA DE SAÚDE;900,00;7.452 CONTRATOS;14.786.237.936,49
0127/2023;25.510.031072.2023;26/08/2023;31/12/2023;4;FPGS 25.5101;07.778.725/0001-54 - EQUIPEMED COMERCIO DE PROD MEDICOS E SERV DE MANUT EM MAQUINAS E APARELHOS LTDA;MATERIAL DA ÁREA DE SAÚDE;2.425,00;7.452 CONTRATOS;14.786.237.936,49
0128/2023;25.510.031072.2023;26/08/2023;31/12/2023;4;FPGS 25.5101;00.165.933/0001-39 - DESCARTEX CONFECÇOES E COMERCIOLTDA;MATERIAL DA ÁREA DE SAÚDE;58.924,00;7.452 CONTRATOS;14.786.237.936,49
0130/2023;25.510.031072.2023;26/08/2023;31/12/2023;4;FPGS 25.5101;22.958.146/0001-87 - MEDHOSTER COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES LTDA;MATERIAL DA ÁREA DE SAÚDE;3.864,00;7.452 CONTRATOS;14.786.237.936,49
0131/2023;25.510.031072.2023;26/08/2023;31/12/2023;4;FPGS 25.5101;05.287.113/0001-33 - ARTSINTESE COMERCIO DE MATERIAL E EQUIPAMENTOS HOSPITALAR LTDA;MATERIAL DA ÁREA DE SAÚDE;3.300,00;7.452 CONTRATOS;14.786.237.936,49
0132/2023;25.510.031072.2023;26/08/2023;31/12/2023;4;FPGS 25.5101;06.065.614/0001-38 - SUPERMEDICA DISTRIBUIDORA HOSPITALAR EIRELI;MATERIAL DA ÁREA DE SAÚDE;10.887,75;7.452 CONTRATOS;14.786.237.936,49
0137/2023;25.510.016114.2022;26/08/2023;31/12/2023;4;FPGS 25.5101;40.787.152/0001-09 - CIRUFARMA COMERCIAL LTDA;MATERIAL DA ÁREA DE SAÚDE;150.760,10;7.452 CONTRATOS;14.786.237.936,49
0156/2023;;27/08/2023;25/11/2023;3;SEE - 22.0001;08.931.495/0001-84 - PREFEITURA MUNICIPAL DE JERICO;DOAÇÕES;;7.452 CONTRATOS;14.786.237.936,49
0162/2023;25.510.025072.2023;26/08/2023;26/08/2024;12;FPGS 25.5101;07.552.997/0002-12 - PROMEDCARE COMERCIO E MANUTENÇAO EM EQUIPAMENTOS MEDICOS LTDA;EQUIPAMENTOS;56.266,69;7.452 CONTRATOS;14.786.237.936,49
0230/2023;25.215.000170.2022;28/08/2023;31/12/2023;4;HEETSHL - 25.1501;09.074.443/0002-82 - MSA COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES LTDA;MATERIAL MÉDICO-HOSPITALAR;107.432,40;7.452 CONTRATOS;14.786.237.936,49
0035/2023;25.240.000168.2023;25/08/2023;31/12/2023;4;HCCG - 25.4201;29.329.985/0001-85 - MEDERI DISTRIBUIÇÃO E IMPORTAÇÃO DE PRODUTOS PARA SAÚDE S/A;OUTROS MATERIAIS DA ÁREA DE SAÚDE;221.340,00;7.452 CONTRATOS;14.786.237.936,49
0036/2023;25.240.000168.2023;25/08/2023;31/12/2023;4;HCCG - 25.4201;15.218.561/0001-39 - NNMED DISTRIBUIÇÃO, IMPORTAÇÃO E EXPORTAÇÃO DE MEDICAMENTOS LTDA;OUTROS MATERIAIS DA ÁREA DE SAÚDE;892,32;7.452 CONTRATOS;14.786.237.936,49
0079/2023;;25/08/2023;25/08/2024;12;SUDEMA - 34.0101;701.575.314-65 - ANA BEATRIZ NASCIMENTO AVELINO DA SILVA;CESSÃO DE ESTÁGIO CURRICULAR;8.136,00;7.452 CONTRATOS;14.786.237.936,49
0135/2023;25.510.016114.2022;25/08/2023;31/12/2023;4;FPGS 25.5101;19.848.316/0001-66 - BIOMEDICAL PRODUTOS CIENTIFICOS MEDICOS E HOSPITALARES SA;MATERIAL DA ÁREA DE SAÚDE;19.840,00;7.452 CONTRATOS;14.786.237.936,49
0138/2023;25.510.016114.2022;25/08/2023;31/12/2023;4;FPGS 25.5101;67.729.178/0006-53 - COMERCIAL CIRURGICA RIOCLARENSE LTDA;MATERIAL DA ÁREA DE SAÚDE;29.670,00;7.452 CONTRATOS;14.786.237.936,49
0140/2023;25.510.016114.2022;25/08/2023;31/12/2023;4;FPGS 25.5101;13.496.848/0001-03 - DISTRIBUIDORA INTENSIVA MATERIAL MEDICO HOSPITALAR LTDA;MATERIAL DA ÁREA DE SAÚDE;9.353,00;7.452 CONTRATOS;14.786.237.936,49
0142/2023;25.510.016114.2022;25/08/2023;31/12/2023;4;FPGS 25.5101;29.992.682/0001-48 - ECOMED COMERCIO DE PRODUTOS MEDICOS LTDA;MATERIAL DA ÁREA DE SAÚDE;61.473,00;7.452 CONTRATOS;14.786.237.936,49
0145/2023;25.510.016114.2022;25/08/2023;31/12/2023;4;FPGS 25.5101;17.892.706/0001-08 - GLOBAL COMERCIAL LTDA;MATERIAL DA ÁREA DE SAÚDE;224.320,00;7.452 CONTRATOS;14.786.237.936,49
0146/2023;25.510.016114.2022;25/08/2023;31/12/2023;4;FPGS 25.5101;12.040.718/0001-90 - GRADUAL COMERCIO E SERVIÇOS LTDA;MATERIAL DA ÁREA DE SAÚDE;262.889,86;7.452 CONTRATOS;14.786.237.936,49
0150/2023;25.510.016114.2022;25/08/2023;31/12/2023;4;FPGS 25.5101;59.309.302/0001-99 - JB COMERCIO E SERVIÇOS LTDA;MATERIAL DA ÁREA DE SAÚDE;156.996,00;7.452 CONTRATOS;14.786.237.936,49
0153/2023;25.510.016114.2022;25/08/2023;31/12/2023;4;FPGS 25.5101;10.779.833/0001-56 - MEDICAL MERCANTIL DE APARELHAGEM MEDICA LTDA;MATERIAL DA ÁREA DE SAÚDE;466.085,50;7.452 CONTRATOS;14.786.237.936,49
0154/2023;25.510.016114.2022;25/08/2023;31/12/2023;4;FPGS 25.5101;15.218.561/0001-39 - NNMED- DISTRIBUIÇÃO, IMPORTAÇÃO E EXPORTAÇÃO DE MEDICAMENTOS LTDA;MATERIAL DA ÁREA DE SAÚDE;184.688,80;7.452 CONTRATOS;14.786.237.936,49
0155/2023;25.510.016114.2022;25/08/2023;31/12/2023;4;FPGS 25.5101;09.478.023/0001-80 - ODONTOMED COMERCIO DE PRODUTOS MEDICO HOSPITALARES LTDA;MATERIAL DA ÁREA DE SAÚDE;9.884,00;7.452 CONTRATOS;14.786.237.936,49
0157/2023;25.510.016114.2022;25/08/2023;31/12/2023;4;FPGS 25.5101;03.817.043/0001-52 - PHARMAPLUS LTDA;MATERIAL DA ÁREA DE SAÚDE;428.395,86;7.452 CONTRATOS;14.786.237.936,49
0158/2023;25.510.016114.2022;25/08/2023;31/12/2023;4;FPGS 25.5101;26.556.283/0001-46 - PRIMED COMERCIO DE PRODUTOS HOSPITALARES LTDA;MATERIAL DA ÁREA DE SAÚDE;22.947,60;7.452 CONTRATOS;14.786.237.936,49
0160/2023;25.510.016114.2022;25/08/2023;31/12/2023;4;FPGS 25.5101;06.948.769/0001-12 - TECNOCENTER MATERIAIS MEDICOS HOSPITALARES LTDA;MATERIAL DA ÁREA DE SAÚDE;337.833,60;7.452 CONTRATOS;14.786.237.936,49
0162/2023;31.206.002427.2023;25/08/2023;25/08/2024;12;CAGEPA - 31.0601;14.868.712/0001-31 - AKAD SEGUROS S.A;OUTROS SERVIÇOS DE SEGURO;125.000,00;7.452 CONTRATOS;14.786.237.936,49
0203/2023;22.204.000334.2023;25/08/2023;31/12/2023;4;UEPB - 35.0401;08.829.236/0003-09 - COOPERATIVA AGROPECUARIA DE CAMPINA GRANDE LTDA;MATERIAL DE CONSUMO;27.800,00;7.452 CONTRATOS;14.786.237.936,49
0206/2023;22.204.002207.2022;25/08/2023;31/12/2023;4;UEPB - 35.0401;43.994.088/0001-17 - AQUILA ESTEFANE LIMA DA SILVA;MATERIAL DE CONSUMO;25.980,00;7.452 CONTRATOS;14.786.237.936,49
0208/2023;22.204.012896.2023;25/08/2023;31/12/2023;4;UEPB - 35.0401;08.776.635/0001-97 - AM PEREIRA ABRANTES LTDA EIRELI;MATERIAL PERMANENTE;115.582,00;7.452 CONTRATOS;14.786.237.936,49
0001/2023;13.000.000234.2023;22/08/2023;22/08/2024;12;PGEP - 13.0001;61.600.839/0001-55 - CENTRO DE INTEGRACAO EMPRESA ESCOLA CIEE;OUTROS SERVIÇOS ESPECIALIZADOS;729.000,00;7.452 CONTRATOS;14.786.237.936,49
0009/2023;19.000.000514.2020 ;23/08/2023;23/08/2024;12;SECOM - 29.0001;15.353.461/0001-15 - EMPRESA ÂMBAR SERVIÇOS LTDA - ME;SERVIÇO ESPECIALIZADO;61.940,00;7.452 CONTRATOS;14.786.237.936,49
0017/2023;25.213.000015.2023;24/08/2023;20/02/2024;6;HRC - 25.0101;10.446.347/0001-16 - FORÇA ALERTA SEGURANÇA E TRANSPORTE DE VALORES LTDA;VIGILÂNCIA DE BENS IMÓVEIS;505.272,00;7.452 CONTRATOS;14.786.237.936,49
0020/2023;34.204.882023.2023;22/08/2023;22/08/2025;24;PBGÁS - 34.0401;09.831.033/0001-58 - PCG ENGENHARIA DE SISTEMAS LTDA;OUTROS EVENTOS;465.516,12;7.452 CONTRATOS;14.786.237.936,49
0035/2023;31.201.002398.2023;24/08/2023;16/03/2025;19;DER - 31.0101;12.463.759/0001-90 - CONSTRUMASTER CONSTRUÇÕES E LOCAÇÃO DE MÁQUINAS LTDA;OBRAS;26.434.630,51;7.452 CONTRATOS;14.786.237.936,49
0082/2023;31.202.002711.2023;24/08/2023;23/10/2023;2;SUPLAN - 31.0201;12.622.988/0001-00 - GRUPO CENTRUM CAPACITAÇÃO E EVENTOS LTDA;SERVIÇOS;86.400,00;7.452 CONTRATOS;14.786.237.936,49
0083/2023;31.202.003651.2023;23/08/2023;19/02/2024;6;SUPLAN - 31.0201;00.507.949/0001-82 - JATOBETON ENGENHARIA LTDA;OBRAS;4.579.986,68;7.452 CONTRATOS;14.786.237.936,49
0084/2023;31.202.001359.2023;23/08/2023;20/01/2024;5;SUPLAN - 31.0201;37.877.436/0001-73 - YAPE ENGENHARIA LTDA;OBRAS;55.622,59;7.452 CONTRATOS;14.786.237.936,49
0133/2023;31.206.007708.2022;24/08/2023;24/10/2024;14;CAGEPA - 31.0601;51.652.029/0001-99 - CONSÓRCIO ENGEDUX-EICOMNOR-ALTO PIRANHAS;AMPLIAÇÃO E CONSERVAÇÃO DE REDE DE DISTRIB. D'ÁGUA;6.736.316,97;7.452 CONTRATOS;14.786.237.936,49
0134/2023;25.510.007036.2022;24/08/2023;24/08/2024;12;FPGS 25.5101;11.994.394/0001-67 - ORTO MEDICAL MATERIAIS CIRURGICOS LTDA;MATERIAL DA ÁREA DE SAÚDE;5.738.182,25;7.452 CONTRATOS;14.786.237.936,49
0158/2023;31.206.042472.2023;24/08/2023;20/02/2024;6;CAGEPA - 31.0601;32.072.759/0001-76 - NOVA CONEXÃO COMÉRCIO DE MATERIAIS DE CONSTRUÇÃO LTDA;MATERIAL DE USO ESPECÍFICO;651.576,00;7.452 CONTRATOS;14.786.237.936,49
0161/2023;25.510.009081.2023;24/08/2023;31/12/2023;4;FPGS 25.5101;90.108.283/0001-82 - CONTATTI COMERCIO E REPRESENTAÇOES LTDA;MEDICAMENTOS;249.653,04;7.452 CONTRATOS;14.786.237.936,49
0205/2023;22.204.001809.2023;24/08/2023;20/02/2024;6;UEPB - 35.0401;46.450.291/0001-10 - FRANCISCO DE ASSIS SILVEIRA NETO;SERVIÇO ESPECIALIZADO;34.900,00;7.452 CONTRATOS;14.786.237.936,49
0205/2023;25.215.000028.2023;24/08/2023;20/02/2024;6;HEETSHL - 25.1501;09.112.236/0001-94 - FUNDAÇÃO NAPOLEÃO LAUREANO;SERVIÇO ESPECIALIZADO NA ÁREA DE SAÚDE;702.754,00;7.452 CONTRATOS;14.786.237.936,49
0221/2023;25.215.000092.2022;25/08/2023;31/12/2023;4;HEETSHL - 25.1501;11.619.992/0001-56 - PRIOM TECNOLOGIA EM EQUIPAMENTOS LTDA;MATERIAL MÉDICO-HOSPITALAR;139.735,00;7.452 CONTRATOS;14.786.237.936,49
0225/2023;25.215.000170.2022;23/08/2023;31/12/2023;4;HEETSHL - 25.1501;26.436.406/0001-05 - CENTRAL DAS FRALDAS DISTRIBUIDORA LTDA;MATERIAL MÉDICO-HOSPITALAR;11.880,00;7.452 CONTRATOS;14.786.237.936,49
0238/2023;19.000.005791.2020;23/08/2023;31/12/2023;4;HEETSHL - 25.1501;08.778.201/0001-26 - DROGAFONTE LTDA;MEDICAMENTOS;171,00;7.452 CONTRATOS;14.786.237.936,49
0272/2023;19.000.012607.2022;25/08/2023;01/04/2024;8;SES - 25.0001;49.601.107/0001-84 - FRESENIUS HEMOCARE BRASIL LTDA;MATERIAL DA ÁREA DE SAÚDE;2.821.270,00;7.452 CONTRATOS;14.786.237.936,49
0352/2023;27.000.003885.2023;24/08/2023;24/05/2024;9;SEDH - 27.0001;32.193.243/0001-80 - LÍGIA REFEIÇÕES LTDA;FORNECIMENTO DE REFEIÇÕES;305.712,00;7.452 CONTRATOS;14.786.237.936,49
0356/2023;25.000.001436.2023 ;25/08/2023;31/12/2023;4;SES - 25.0001;09.053.134/0001-45 - ELFA MEDICAMENTOS S.A;MEDICAMENTOS;1.751.375,00;7.452 CONTRATOS;14.786.237.936,49
0022/2023;25.301.000022.2023;22/08/2023;17/02/2024;6;CERS - 25.4301;21.778.142/0001-54 - MMD. SERV. MÍDIA DIGITAL EIRELI;SERVIÇO ESPECIALIZADO NA ÁREA DE SINALIZAÇÃO;45.247,50;7.452 CONTRATOS;14.786.237.936,49
0023/2023;23.901.000077.2022;22/08/2023;31/12/2023;4;FUNESBOM - 57.0001 ;45.856.971/0001-76 - F2 TACTICAL ARTIGOS MILITARES;MATERIAL DE CONSUMO;28.082,00;7.452 CONTRATOS;14.786.237.936,49
0023/2023;19.000.033320.2019;22/08/2023;20/11/2023;3;PC - 38.0001;08.706.350/0001-80 - INCOMEL - INDÚSTRIA DE MÓVEIS LTDA-EPP;AQUISIÇÃO DE BENS MÓVEIS;53.590,00;7.452 CONTRATOS;14.786.237.936,49
0024/2023;23.901.000077.2022;22/08/2023;31/12/2023;4;FUNESBOM - 57.0001 ;61.182.424/0001-09 - O. FILIZZOLA & CIA. LTDA;MATERIAL DE CONSUMO;21.600,00;7.452 CONTRATOS;14.786.237.936,49
0033/2023;31.201.004316.2022;21/08/2023;09/09/2025;25;DER - 31.0101;04.453.350/0001-64 - J&F CONSTRUÇÕES E COMÉRCIO LTDA - EM RECUPERAÇÃO JUDICIAL;OBRAS ESPECÍFICAS;8.352.286,49;7.452 CONTRATOS;14.786.237.936,49
0033/2023;31.902.000213.2023;21/08/2023;25/08/2023;0;FERH - 43.0001;02.925.407/0001-55 - REDE BRASIL DE ORGANISMOS DE BACIAS HIDROGRÁFICAS;SERVIÇO ESPECIALIZADO;250.000,00;7.452 CONTRATOS;14.786.237.936,49
0039/2023;24.000.003829.2023;22/08/2023;31/12/2023;4;SEAP - 24.0001;17.020.542/0001-29 - DISTRIBUIDORA BRAZMAC LTDA;GÊNEROS ALIMENTÍCIOS / PRESÍDIOS;2.620.657,00;7.452 CONTRATOS;14.786.237.936,49
0040/2023;24.000.003829.2023;22/08/2023;31/12/2023;4;SEAP - 24.0001;27.569.679/0001-90 - CABRAL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;GÊNEROS ALIMENTÍCIOS / PRESÍDIOS;865.525,00;7.452 CONTRATOS;14.786.237.936,49
0041/2023;24.000.003829.2023;22/08/2023;31/12/2023;4;SEAP - 24.0001;23.708.372/0001-72 - COMERCIO VAREJISTA DE ALIMENTOS VERDE VALE LTDA;GÊNEROS ALIMENTÍCIOS / PRESÍDIOS;1.882.800,00;7.452 CONTRATOS;14.786.237.936,49
